PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202601,01 HARD LINE,0120 HOME ENTERTAIN,443626.17,140.0,453390.65,154.0
202603,05 FRESH FOOD,0520 SEAFOOD,339279.57,2318.98,276951.89,2462.26
202606,05 FRESH FOOD,0530 PRODUCE,619939.17,14136.57,415210.44,10609.51
202603,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,153111.19,2963.0,154943.44,2668.0
202606,04 DRY FOOD,0422 SWEETED GROCE.2_SME,2080.37,79.0,4377.57,209.0
202603,05 FRESH FOOD,0540 DELICATESSEN,246838.74,9078.09,238033.32,7234.0
202605,06 PHARMACY,0620 OVER THE COUNTER,2430.37,49.0,3036.45,48.0
202601,04 DRY FOOD,0420 SWEETED GROCE.2,1053180.34,29966.0,1301083.83,33352.0
202606,04 DRY FOOD,0460 HBA,282.24,2.0,1894.39,16.0
202602,04 DRY FOOD,0472 PAPER,486094.52,5438.0,638118.44,6498.0
202601,04 DRY FOOD,0496 SPECIAL PROJECT,236010.45,254.0,149960.22,187.0
202604,02 HOME LINE,0210 HOUSEWARE,537750.5,7046.0,579577.85,7448.0
202605,04 DRY FOOD,0480 PETS,147080.29,2549.0,174839.52,3133.0
202606,04 DRY FOOD,0470 HOUSEHOLD,1072376.27,16824.0,1473671.21,22249.0
202606,01 HARD LINE,0112 MAJOR APPLIANCE,511171.03,83.0,591034.59,93.0
202603,04 DRY FOOD,0440 BEVERAGE,2633880.5,40582.0,2867518.69,42172.0
202605,03 SOFT LINE,0322 MEN ESSENTIAL,53075.73,445.0,73440.2,750.0
202603,05 FRESH FOOD,0530 PRODUCE,419039.63,10931.21,406971.88,10105.52
202602,04 DRY FOOD,0442 BEVERAGE_SME,2055.14,63.0,17431.78,540.0
202606,05 FRESH FOOD,0560 PERISHABLE,6512.62,172.0,5463.56,179.0
202602,06 PHARMACY,0620 OVER THE COUNTER,1185.05,20.0,4727.1,93.0
202601,04 DRY FOOD,0410 SWEETED GROCE.1,0.0,0.0,0.0,0.0
202607,03 SOFT LINE,0380 CHILDREN,1953.27,56.0,4424.3,31.0
202605,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202605,04 DRY FOOD,0410 SWEETED GROCE.1,1251921.61,8211.0,1307422.54,8762.0
202607,03 SOFT LINE,0310 LADIES APPAREL,2129.91,2.0,1488.79,7.0
202606,02 HOME LINE,0240 HOME IMPROVEMEN,117419.6,1101.0,167156.99,1460.0
202606,02 HOME LINE,0230 RECREATION,122542.98,593.0,174883.12,757.0
202605,03 SOFT LINE,0370 PERSONAL CARE,27563.55,564.0,20165.44,415.0
202605,03 SOFT LINE,0340 BABY ACCESSORIES,45671.98,453.0,59986.93,611.0
202604,04 DRY FOOD,0472 PAPER,541286.68,6141.0,605366.57,6333.0
202603,04 DRY FOOD,0496 SPECIAL PROJECT,10013.09,16.0,0.0,0.0
202606,02 HOME LINE,0210 HOUSEWARE,529666.86,6570.0,584637.44,7657.0
202607,04 DRY FOOD,0480 PETS,3793.36,37.0,5058.22,65.0
202602,03 SOFT LINE,0380 CHILDREN,60017.7,451.0,96669.71,768.0
202605,03 SOFT LINE,0312 LADIES ACCESSORIES,28240.19,209.0,39003.73,405.0
202605,04 DRY FOOD,0472 PAPER,529713.99,6311.0,614203.69,6631.0
202607,02 HOME LINE,0210 HOUSEWARE,16146.73,218.0,15187.85,228.0
202603,03 SOFT LINE,0380 CHILDREN,66585.0,548.0,156431.38,1151.0
202601,04 DRY FOOD,0450 LIQUOR,1603024.3,4494.0,1205105.63,2912.0
202602,03 SOFT LINE,0340 BABY ACCESSORIES,46888.79,411.0,47608.41,485.0
202605,04 DRY FOOD,0460 HBA,1943449.63,24316.0,1815678.95,21754.0
202602,06 PHARMACY,0610 PRESCRIPTION,0.0,0.0,0.0,0.0
202602,04 DRY FOOD,0410 SWEETED GROCE.1,1095843.29,7298.0,1213729.96,8219.0
202606,04 DRY FOOD,0430 SALTED GROCERY,2277921.3,45043.0,2447038.69,49975.0
